Model, Re,Lo,Ho,Delta Cp,Delta Cp Ref
FVM, 100,0.200007487,0.384912588,21.0937,21.2596
FVM, 200,0.200003887,0.40286296,14.8179,15.0322
FVM, 300,0.200270396,0.409578226,12.5447,12.8064
FVM, 400,0.257300865,0.402111883,11.304,11.6139
FVM, 500,0.294313762,0.397610563,10.5098,10.8583
FVM, 600,0.318037092,0.391112488,9.94277,10.3311
FVM, 700,0.331318018,0.38928605,9.51669,9.93911
FVM, 800,0.343050367,0.387669335,9.1868,9.63616
FVM, 900,0.357202751,0.385455725,8.91751,9.39435
FVM, 1000,0.384732251,0.383156505,8.69395,9.19585
